gameCode;name;isActive;mobileGameCode;seoFriendlyGameName;desktopGameType;mobileGameType;liveLaunchAlias;bingoGameType;vfGameType;jackpotCode;demoModeSupport;gameMode;gameProvider;urlCustomParameters;isExcludedFromPGG;isExcludedFromSitemap;deviceAvailability_mobile;deviceAvailability_tablet;deviceAvailability_desktop;browserAvailability_edge;browserAvailability_safari;browserAvailability_chrome;browserAvailability_firefox;browserAvailability_other;osAvailability_ios;osAvailability_macintosh;osAvailability_android;osAvailability_windows;osAvailability_other;defaultGameImage;landscape_layout1x1_mainImage;landscape_layout1x1_mobileImage;landscape_layout1x1_guestMainImage;landscape_layout1x1_guestMobileImage;landscape_layout1x2_mainImage;landscape_layout1x2_mobileImage;landscape_layout1x2_guestMainImage;landscape_layout1x2_guestMobileImage;landscape_layout2x1_mainImage;landscape_layout2x1_mobileImage;landscape_layout2x1_guestMainImage;landscape_layout2x1_guestMobileImage;landscape_layout2x2_mainImage;landscape_layout2x2_mobileImage;landscape_layout2x2_guestMainImage;landscape_layout2x2_guestMobileImage;square_layout1x1_mainImage;square_layout1x1_mobileImage;square_layout1x1_guestMainImage;square_layout1x1_guestMobileImage;square_layout1x2_mainImage;square_layout1x2_mobileImage;square_layout1x2_guestMainImage;square_layout1x2_guestMobileImage;square_layout2x1_mainImage;square_layout2x1_mobileImage;square_layout2x1_guestMainImage;square_layout2x1_guestMobileImage;square_layout2x2_mainImage;square_layout2x2_mobileImage;square_layout2x2_guestMainImage;square_layout2x2_guestMobileImage;portrait_layout1x1_mainImage;portrait_layout1x1_mobileImage;portrait_layout1x1_guestMainImage;portrait_layout1x1_guestMobileImage;portrait_layout1x2_mainImage;portrait_layout1x2_mobileImage;portrait_layout1x2_guestMainImage;portrait_layout1x2_guestMobileImage;portrait_layout2x1_mainImage;portrait_layout2x1_mobileImage;portrait_layout2x1_guestMainImage;portrait_layout2x1_guestMobileImage;portrait_layout2x2_mainImage;portrait_layout2x2_mobileImage;portrait_layout2x2_guestMainImage;portrait_layout2x2_guestMobileImage;articleId;mobileArticleId;description;isGameNew;isGamePopular;isGameHot;isGameExclusive;additionalAssets_Bingo-Page;gameLabelsData_Trending;gameLabelsData_Exclusive;gameLabelsData_Popular;gameLabelsData_Hot;gameLabelsData_New;gamesCustomFields_hideGameBonusLabel;gamesCustomFields_Jackpot;gamesCustomFields_Volatility;gamesCustomFields_RTP;gamesCustomFields_bingoRoomImage;gamesCustomFields_bingoRoomTitle;gamesCustomFields_bingoRoomLabel;gamesCustomFields_gameInfoUrl
gets-the-worm;Gets the Worm;true;gets-the-worm;gets-the-worm;EYECON;EYECON;;;;;unavailable;;Eyecon;;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;/library/Friendly_Games/Gets_The_Worm/300x300.jpg;/library/Friendly_Games/Gets_The_Worm/300x300.jpg;/library/Friendly_Games/Gets_The_Worm/300x300.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;{{{games_category_slots,studio_eyecon,features_freerounds,theme_nature,paylines_16-25,test}}};false;false;false;false;;;;;;;;;;;;;;
mightyarthur;Mighty Arthur;false;mightyarthur;mightyarthur;QUICKSPIN;QUICKSPIN;;;Mighty Arthur SA;;unavailable;;Quickspin;;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;/library/Games2017/Mighty_Arthur/300x300NoNewsma.jpg;/library/Games2017/Mighty_Arthur/300x300NoNewsma.jpg;/library/Games2017/Mighty_Arthur/300x300NoNewsma.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;false;false;false;false;;;;;;;;;;;;;;
dragonshrine;Dragon Shrine;false;dragonshrine;dragonshrine;QUICKSPIN;QUICKSPIN;;;Dragon Shrine SA;;unavailable;;Quickspin;;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;/library/games_images/300x300/Quickspin/dragonshrine.png;/library/games_images/300x300/Quickspin/dragonshrine.png;/library/games_images/300x300/Quickspin/dragonshrine.png;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GAME_DESC_DRAGON_SHINE;GAME_DESC_DRAGON_SHINE;{{{games_category_slots,studio_quickspin,features_freerounds,theme_asian,paylines_26-50}}};false;false;false;false;;;;;;;;;;;;;;
fairygate;Fairy Gate;false;fairygate;fairygate;QUICKSPIN;QUICKSPIN;;;Fairy Gate SA;;unavailable;;Quickspin;;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;/library/Games2017/Fairy_Gate/300x300FG.jpg;/library/Games2017/Fairy_Gate/300x300FG.jpg;/library/Games2017/Fairy_Gate/300x300FG.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;{{{games_category_slots,studio_quickspin,features_freerounds,paylines_16-25,theme_fantasy}}};false;false;false;false;;;;;;;;;;;;;;
happy-birthday;Happy Birthday;true;happy-birthday;happy-birthday;EYECON;EYECON;;;;;unavailable;;Eyecon;;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;/library/Friendly_Games/300x300NoNewshb.jpg;/library/Friendly_Games/300x300NoNewshb.jpg;/library/Friendly_Games/300x300NoNewshb.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;false;false;false;false;;;;;;;;;;;;;;
haunted-hallows;Haunted Hallows;false;haunted-hallows;haunted-hallows;GPAS;GPAS;;;;;unavailable;;Playtech;;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;/library/games_images/300x300/haunted-hallows.jpg;/library/games_images/300x300/haunted-hallows.jpg;/library/games_images/300x300/haunted-hallows.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;{{{test}}};false;false;false;false;;;;;;;;;;;;;;
kingdom-of-cash;Kingdom Of Cash;true;kingdom-of-cash;kingdom-of-cash;EYECON;EYECON;;;;;unavailable;;Eyecon;;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;/library/Friendly_Games/300x300koc.jpg;/library/Friendly_Games/300x300koc.jpg;/library/Friendly_Games/300x300koc.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;{{{games_category_slots,studio_eyecon,features_freerounds,paylines_16-25,theme_fantasy}}};false;false;false;false;;;;;;;;;;;;;;
winsoffortune;Wins of Fortune;false;winsoffortune;winsoffortune;QUICKSPIN;QUICKSPIN;;;Wins of Fortune SA;;unavailable;;Quickspin;;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;/library/Friendly_Games/WinsofFortune/300x300.jpg;/library/Friendly_Games/WinsofFortune/300x300.jpg;/library/Friendly_Games/WinsofFortune/300x300.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;{{{games_category_slots,studio_quickspin,theme_superheros,paylines_ways}}};false;false;false;false;;;;;;;;;;;;;;
paradise-reels;Paradise Reels;true;paradise-reels;paradise-reels;EYECON;EYECON;;;;;unavailable;;Eyecon;;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;/library/games_images/paradise-reels.png;/library/games_images/paradise-reels.png;/library/games_images/paradise-reels.png;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;false;false;false;false;;;;;;;;;;;;;;
rebets-splendour;Rebets Splendour;true;rebets-splendour;rebets-splendour;EYECON;EYECON;;;;;unavailable;;Eyecon;;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;/library/Games2017/REBETS_SPLENDOUR/300x300_1.jpg;/library/Games2017/REBETS_SPLENDOUR/300x300_1.jpg;/library/Games2017/REBETS_SPLENDOUR/300x300_1.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;{{{games_category_slots,studio_eyecon,features_freerounds,theme_classic,paylines_16-25,test}}};false;false;false;false;;;;;;;;;;;;;;
